location,lat,long,alt,year,bloom_date,bloom_doy,new_location
kyoto,35.0119831,135.6761135,44,1319,1319-04-26,116,Kyoto
kyoto,35.0119831,135.6761135,44,1321,1321-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1322,1322-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1323,1323-05-04,124,Kyoto
kyoto,35.0119831,135.6761135,44,1324,1324-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1326,1326-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1329,1329-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1330,1330-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1331,1331-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1332,1332-04-24,115,Kyoto
kyoto,35.0119831,135.6761135,44,1342,1342-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1344,1344-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1346,1346-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1347,1347-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1349,1349-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1350,1350-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1351,1351-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1356,1356-04-26,117,Kyoto
kyoto,35.0119831,135.6761135,44,1357,1357-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1358,1358-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1359,1359-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1360,1360-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,1361,1361-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1363,1363-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1364,1364-04-19,110,Kyoto
kyoto,35.0119831,135.6761135,44,1366,1366-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1367,1367-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1368,1368-03-28,88,Kyoto
kyoto,35.0119831,135.6761135,44,1369,1369-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,1370,1370-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1372,1372-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1373,1373-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1375,1375-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1376,1376-04-08,99,Kyoto
kyoto,35.0119831,135.6761135,44,1377,1377-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1378,1378-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1379,1379-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1380,1380-04-11,102,Kyoto
kyoto,35.0119831,135.6761135,44,1381,1381-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1382,1382-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1383,1383-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1384,1384-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1385,1385-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1386,1386-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1387,1387-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1388,1388-04-08,99,Kyoto
kyoto,35.0119831,135.6761135,44,1398,1398-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1401,1401-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1402,1402-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1403,1403-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1406,1406-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1407,1407-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1408,1408-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1409,1409-03-27,86,Kyoto
kyoto,35.0119831,135.6761135,44,1410,1410-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1412,1412-04-02,93,Kyoto
kyoto,35.0119831,135.6761135,44,1413,1413-04-01,91,Kyoto
kyoto,35.0119831,135.6761135,44,1415,1415-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1416,1416-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,1417,1417-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1418,1418-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1419,1419-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1420,1420-04-21,112,Kyoto
kyoto,35.0119831,135.6761135,44,1421,1421-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1422,1422-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1423,1423-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1424,1424-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1425,1425-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1426,1426-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1427,1427-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1429,1429-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1430,1430-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1431,1431-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1432,1432-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1433,1433-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1434,1434-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1435,1435-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,1436,1436-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,1437,1437-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1438,1438-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1439,1439-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1440,1440-04-07,98,Kyoto
kyoto,35.0119831,135.6761135,44,1441,1441-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1443,1443-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1444,1444-04-18,109,Kyoto
kyoto,35.0119831,135.6761135,44,1446,1446-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1447,1447-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1448,1448-04-05,96,Kyoto
kyoto,35.0119831,135.6761135,44,1449,1449-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,1450,1450-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1451,1451-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1452,1452-04-01,92,Kyoto
kyoto,35.0119831,135.6761135,44,1453,1453-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1454,1454-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1455,1455-04-06,96,Kyoto
kyoto,35.0119831,135.6761135,44,1456,1456-04-15,106,Kyoto
kyoto,35.0119831,135.6761135,44,1457,1457-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1458,1458-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1459,1459-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1460,1460-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1461,1461-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1462,1462-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1463,1463-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1464,1464-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1465,1465-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1466,1466-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1467,1467-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1468,1468-04-10,101,Kyoto
kyoto,35.0119831,135.6761135,44,1472,1472-04-23,114,Kyoto
kyoto,35.0119831,135.6761135,44,1474,1474-04-08,98,Kyoto
kyoto,35.0119831,135.6761135,44,1476,1476-04-09,100,Kyoto
kyoto,35.0119831,135.6761135,44,1477,1477-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1478,1478-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1479,1479-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1480,1480-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1481,1481-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1482,1482-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1483,1483-04-11,101,Kyoto
kyoto,35.0119831,135.6761135,44,1484,1484-04-06,97,Kyoto
kyoto,35.0119831,135.6761135,44,1485,1485-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,1486,1486-04-09,99,Kyoto
kyoto,35.0119831,135.6761135,44,1487,1487-04-03,93,Kyoto
kyoto,35.0119831,135.6761135,44,1488,1488-04-12,103,Kyoto
kyoto,35.0119831,135.6761135,44,1489,1489-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1490,1490-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1491,1491-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1492,1492-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1493,1493-04-10,100,Kyoto
kyoto,35.0119831,135.6761135,44,1494,1494-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1495,1495-04-04,94,Kyoto
kyoto,35.0119831,135.6761135,44,1496,1496-04-06,97,Kyoto
kyoto,35.0119831,135.6761135,44,1497,1497-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1498,1498-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1499,1499-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1500,1500-04-07,97,Kyoto
kyoto,35.0119831,135.6761135,44,1501,1501-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1502,1502-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1503,1503-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1504,1504-04-23,114,Kyoto
kyoto,35.0119831,135.6761135,44,1505,1505-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1506,1506-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1507,1507-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1508,1508-04-20,111,Kyoto
kyoto,35.0119831,135.6761135,44,1509,1509-04-12,102,Kyoto
kyoto,35.0119831,135.6761135,44,1510,1510-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1511,1511-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1512,1512-04-18,109,Kyoto
kyoto,35.0119831,135.6761135,44,1513,1513-04-20,110,Kyoto
kyoto,35.0119831,135.6761135,44,1514,1514-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1515,1515-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1516,1516-04-13,104,Kyoto
kyoto,35.0119831,135.6761135,44,1517,1517-04-16,106,Kyoto
kyoto,35.0119831,135.6761135,44,1518,1518-04-25,115,Kyoto
kyoto,35.0119831,135.6761135,44,1519,1519-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1520,1520-04-14,105,Kyoto
kyoto,35.0119831,135.6761135,44,1521,1521-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1522,1522-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1523,1523-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1524,1524-04-18,109,Kyoto
kyoto,35.0119831,135.6761135,44,1525,1525-04-14,104,Kyoto
kyoto,35.0119831,135.6761135,44,1526,1526-04-23,113,Kyoto
kyoto,35.0119831,135.6761135,44,1527,1527-04-15,105,Kyoto
kyoto,35.0119831,135.6761135,44,1528,1528-04-15,106,Kyoto
kyoto,35.0119831,135.6761135,44,1529,1529-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1530,1530-04-17,107,Kyoto
kyoto,35.0119831,135.6761135,44,1531,1531-04-13,103,Kyoto
kyoto,35.0119831,135.6761135,44,1532,1532-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1533,1533-04-21,111,Kyoto
kyoto,35.0119831,135.6761135,44,1534,1534-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1535,1535-04-05,95,Kyoto
kyoto,35.0119831,135.6761135,44,1536,1536-04-17,108,Kyoto
kyoto,35.0119831,135.6761135,44,1537,1537-04-18,108,Kyoto
kyoto,35.0119831,135.6761135,44,1538,1538-04-22,112,Kyoto
kyoto,35.0119831,135.6761135,44,1539,1539-04-30,120,Kyoto
kyoto,35.0119831,135.6761135,44,1540,1540-05-01,122,Kyoto
kyoto,35.0119831,135.6761135,44,1541,1541-04-19,109,Kyoto
kyoto,35.0119831,135.6761135,44,1542,1542-04-12,102,Kyoto
